nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Henri Ier le Barbu,1163-01-01T00:00:00Z,Głogów,1238-03-26T00:00:00Z,Krosno Odrzańskie,roi de Pologne
Édouard VII,1841-11-09T00:00:00Z,palais de Buckingham,1910-05-06T00:00:00Z,palais de Buckingham,"roi, Empereur des Indes, monarque du Royaume-Uni, membre de la Chambre des lords, membre du Conseil privé d'Irlande, membre du Conseil privé du Royaume-Uni"
Bérenger de Tours,0998-01-01T00:00:00Z,Tours,1088-01-06T00:00:00Z,La Riche,
Philippe Ier de France,1052-05-29T00:00:00Z,Champagne-et-Fontaine,1108-08-05T00:00:00Z,Melun,roi des Francs
Geoffroy de Boulogne,,,1095-01-01T00:00:00Z,,"évêque, évêque de Paris"
Philippe Pétain,1856-04-24T00:00:00Z,Cauchy-à-la-Tour,1951-07-23T00:00:00Z,Port-Joinville,"vice-président, ministre d'État, président du Conseil, ministre de la Guerre, vice-président du Conseil, chef de l'État français, ambassadeur de France en Espagne, fauteuil 18 de l'Académie française"
Geoffroy de Monmouth,1090-01-01T00:00:00Z,Monmouth,1155-01-01T00:00:00Z,Saint-Asaph,"évêque catholique, évêque diocésain, évêque de Saint-Asaph"
Robert d'Arbrissel,1047-01-01T00:00:00Z,Rennes,1117-02-25T00:00:00Z,prieuré d'Orsan,
Guillaume de Montfort,1400-01-01T00:00:00Z,Dinan,1432-09-27T00:00:00Z,Sienne,"cardinal, évêque catholique, évêque diocésain"
Pierre Abélard,1079-01-01T00:00:00Z,Le Pallet,1142-04-28T00:00:00Z,Chalon-sur-Saône,abbé
Guillaume de Champeaux,1070-01-01T00:00:00Z,Champeaux,1121-01-01T00:00:00Z,Châlons-en-Champagne,évêque de Châlons-en-Champagne
Foulques V d'Anjou,1092-01-01T00:00:00Z,Angers,1143-11-10T00:00:00Z,Acre,monarque
Bertrade de Montfort,1070-01-01T00:00:00Z,,1117-02-14T00:00:00Z,abbaye de Fontevraud,
Éloi de Noyon,0588-01-01T00:00:00Z,Chaptelat,0660-12-04T00:00:00Z,Noyon,évêque catholique
Philippe Ier de France,1052-05-29T00:00:00Z,Champagne-et-Fontaine,1108-08-05T00:00:00Z,Melun,roi des Francs
Louis VI le Romain,1328-05-20T00:00:00Z,Rome,1365-05-25T00:00:00Z,Berlin,"prince-électeur, duc de Bavière"
Victor Hugo,1802-02-26T00:00:00Z,maison natale de Victor Hugo,1885-05-22T00:00:00Z,Paris,"président, député, sénateur, Pair de France, fauteuil 14 de l'Académie française"
Lazare Weiller,1858-07-20T00:00:00Z,Sélestat,1928-08-12T00:00:00Z,Montreux,"Sénateur du Bas-Rhin, député du Bas-Rhin"
Frédéric-Guillaume Ier de Prusse,1688-08-14T00:00:00Z,Berlin,1740-05-31T00:00:00Z,Stadtschloss de Potsdam,prince-électeur
Pierre Abélard,1079-01-01T00:00:00Z,Le Pallet,1142-04-28T00:00:00Z,Chalon-sur-Saône,abbé
Fulbert de Chartres,0960-01-01T00:00:00Z,Aquitaine,1028-01-01T00:00:00Z,Chartres,"évêque catholique, évêque diocésain"
Guibert de Nogent,1055-04-15T00:00:00Z,Clermont,1124-01-01T00:00:00Z,Coucy-le-Château-Auffrique,abbé
Étienne de Garlande,1070-01-01T00:00:00Z,,1147-01-01T00:00:00Z,Paris,"écolâtre, sénéchal de France, évêque catholique, Archidiaoné, Chancelier de France"
Étienne de Senlis,1050-01-01T00:00:00Z,,1142-05-06T00:00:00Z,,évêque
Hubert François Gravelot,1699-03-26T00:00:00Z,Paris,1773-04-20T00:00:00Z,Paris,
Thomas Jefferson,1743-04-13T00:00:00Z,Shadwell,1826-07-04T00:00:00Z,Charlottesville,"président des États-Unis, vice-président des États-Unis, secrétaire d'État des États-Unis, gouverneur de Virginie, ambassadeur des États-Unis en France"
Étienne Báthory,1533-10-07T00:00:00Z,Șimleu Silvaniei,1586-12-12T00:00:00Z,Hrodna,roi de Pologne
Marcellin Berthelot,1827-10-25T00:00:00Z,Paris,1907-03-18T00:00:00Z,Paris,"secrétaire perpétuel, sénateur inamovible, ministre des Affaires étrangères, ministre de l'Instruction publique et des Beaux-arts, fauteuil 40 de l'Académie française"
Innocent III,1160-02-29T00:00:00Z,Gavignano,1216-07-23T00:00:00Z,Pérouse,"pape, cardinal"
Pierre Lombard,1100-01-01T00:00:00Z,Novare,1160-01-01T00:00:00Z,Paris,évêque catholique
Hugues de Saint-Victor,1096-01-01T00:00:00Z,duché de Saxe,1141-02-18T00:00:00Z,Paris,cardinal
Louis VII de Bavière,1368-01-01T00:00:00Z,Bavaria-Ingolstadt,1447-05-10T00:00:00Z,Burghausen,"gouverneur de la Bastille, duc de Bavière"
Thibaud de Vermandois,1200-01-01T00:00:00Z,France,1188-11-11T00:00:00Z,Rome,"évêque, cardinal, liste des abbés de Cluny, cardinal-évêque, cardinal-prêtre"
Eugène III,1200-01-01T00:00:00Z,Pise,1153-07-15T00:00:00Z,Tivoli,pape
Adélaïde de Montferrat,1075-01-01T00:00:00Z,Savone,1118-04-23T00:00:00Z,Patti,régent
Gilduin de Dol,1052-01-01T00:00:00Z,Combourg,1077-01-27T00:00:00Z,Chartres,archevêque
Marcel Achard,1899-07-05T00:00:00Z,Sainte-Foy-lès-Lyon,1974-09-04T00:00:00Z,Paris,"président du jury du festival de Cannes, fauteuil 21 de l'Académie française"
Adèle de Champagne,1140-01-01T00:00:00Z,,1206-06-04T00:00:00Z,Paris,régent
Maurice de Sully,1110-01-01T00:00:00Z,Sully-sur-Loire,1196-09-18T00:00:00Z,Paris,"évêque catholique, évêque diocésain, évêque de Paris"
Alexandre III,1845-03-10T00:00:00Z,palais Anitchkov,1894-11-01T00:00:00Z,palais de Livadia,Empereur de toutes les Russies
Pierre le Mangeur,1100-01-01T00:00:00Z,Troyes,1179-10-29T00:00:00Z,Paris,
Auguste,-0062-01-01T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,"consul, censeur, Tribun, pontifex maximus, empereur romain, sénateur romain, Q80604738"
Pierre de Poitiers,1130-01-01T00:00:00Z,Poitiers,1215-01-01T00:00:00Z,Paris,
Julien,0331-11-18T00:00:00Z,Constantinople,0363-06-27T00:00:00Z,Mésopotamie,"empereur romain, empereur byzantin, sénateur romain"
Richard de Saint-Léger,1150-01-01T00:00:00Z,,1236-04-04T00:00:00Z,,évêque
Étienne de Tournai,1128-01-01T00:00:00Z,Orléans,1203-09-01T00:00:00Z,Tournai,
Philippe II Auguste,1165-08-28T00:00:00Z,Paris,1223-07-21T00:00:00Z,Mantes-la-Jolie,roi de France
Sophie-Madeleine de Brandebourg-Culmbach,1700-11-28T00:00:00Z,Lauf an der Pegnitz,1770-05-27T00:00:00Z,Christiansborg,Reine consort de Danemark
Geoffroy de Monmouth,1090-01-01T00:00:00Z,Monmouth,1155-01-01T00:00:00Z,Saint-Asaph,"évêque catholique, évêque diocésain, évêque de Saint-Asaph"
Henri II le Pieux,1192-01-01T00:00:00Z,Cracovie,1241-04-16T00:00:00Z,Legnickie Pole,roi de Pologne
Isabelle Ire de Castille,1451-05-01T00:00:00Z,Q5785575,1504-12-06T00:00:00Z,Q6057812,monarque de la couronne de castille
Jean sans Terre,1166-12-31T00:00:00Z,palais de Beaumont,1216-10-26T00:00:00Z,Newark-on-Trent,"duc de Normandie, monarque d'Angleterre"
Pierre le Chantre,1101-01-01T00:00:00Z,,1197-01-01T00:00:00Z,Longpont,
Odon de Sully,1166-01-01T00:00:00Z,,1208-07-20T00:00:00Z,,évêque de Paris
Louis Antoine de Saint-Just,1767-08-25T00:00:00Z,Decize,1794-07-28T00:00:00Z,Paris,"Comité de salut public, député de la Convention nationale, Q65963741"
