nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Jean Preudhomme,1732-11-23T00:00:00Z,Rolle,1795-07-20T00:00:00Z,La Neuveville,
Jean Quentin Duplaquet,1766-09-24T00:00:00Z,Fontaine-lès-Clercs,1835-10-30T00:00:00Z,Sarthe,membre du Conseil des Cinq-Cents
Robert Rector,,,,,
Nicolas Riou,,,,,
Guillaume Rouet,1988-08-13T00:00:00Z,Bayonne,,,
Jean Rousseau,1738-03-13T00:00:00Z,Witry-lès-Reims,1813-09-07T00:00:00Z,Châtillon,"député, Membre du Conseil des Anciens, membre du Sénat conservateur"
Cadet Rousselle,1743-04-30T00:00:00Z,Orgelet,1807-01-28T00:00:00Z,Auxerre,
Jean Roux,1945-04-28T00:00:00Z,,,,"maire de Pugnac, conseiller municipal de Pugnac, conseiller communautaire de Grand Cubzaguais"
Adam de Saint-Denis,,,,,
Jean de Saint-Denis,1905-04-08T00:00:00Z,Saint-Pétersbourg,1970-01-30T00:00:00Z,Paris,évêque orthodoxe
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,
Jean de Savigny,,,1315-01-01T00:00:00Z,,évêque
Jean de Tours,1050-01-01T00:00:00Z,Tours,1122-01-01T00:00:00Z,,"évêque catholique, évêque diocésain, évêque de Bath et Wells"
Q61866810,,,,,
Jean Baptiste Philibert Vaillant,1790-12-06T00:00:00Z,Dijon,1872-06-04T00:00:00Z,Paris,"conseiller général, ministre de la Guerre, sénateur du Second Empire"
Q68907766,1624-01-01T00:00:00Z,,1715-10-01T00:00:00Z,,"évêque catholique, évêque diocésain"
Jules Andrieu,1838-09-30T00:00:00Z,Paris,1884-02-25T00:00:00Z,Jersey,
Q60461588,,,,,
Henri Arnould,1893-02-01T00:00:00Z,,1964-10-28T00:00:00Z,Saint-Quentin,
Pierre Bachelet,1926-05-19T00:00:00Z,Boulogne-sur-Mer,2014-05-17T00:00:00Z,Le Cannet,"maire, député"
Jean Baudin,1950-01-01T00:00:00Z,,,,
Guillaume Belin,1500-01-01T00:00:00Z,,1568-12-03T00:00:00Z,,
Pierre Bélinguier,1870-06-24T00:00:00Z,Villefranche-de-Lauragais,1926-09-08T00:00:00Z,Renneville,"maire, député"
Pierre Bélinguier,1870-06-24T00:00:00Z,Villefranche-de-Lauragais,1926-09-08T00:00:00Z,Renneville,"maire, député"
Jean Berthier,1840-02-24T00:00:00Z,Châtonnay,1908-10-16T00:00:00Z,Grave,
Q50672869,1896-10-26T00:00:00Z,,1968-09-01T00:00:00Z,,préfet
Antoine Bonnet de Lescure,1777-12-12T00:00:00Z,Marvejols,1849-08-28T00:00:00Z,Breuillet,"maire, député"
Pierre Bordier,1945-06-21T00:00:00Z,,,,"sénateur, maire de Saint-Fargeau"
Hennequin de Bruges,t1769823267,Bruges,t1769823268,,peintre de cour
Guillaume Cailleau,1978-02-15T00:00:00Z,Saumur,,,
Jean-Émile Charon,1920-02-25T00:00:00Z,16e arrondissement de Paris,1998-06-08T00:00:00Z,Essonne,
Jean Charton de Millou,1736-10-17T00:00:00Z,Lyon,1792-09-02T00:00:00Z,Paris,
Paul CHOLET,1814-12-27T00:00:00Z,,1867-05-05T00:00:00Z,,
Guillaume de Cologne,t1794383895,,t1794383894,,
Jean Cornu,1650-01-01T00:00:00Z,Paris,1710-01-01T00:00:00Z,,
Jean Costes,1838-10-02T00:00:00Z,Cahors,1913-04-25T00:00:00Z,Cahors,"maire, sénateur"
Jean Courtin,1936-08-20T00:00:00Z,Saint-Tropez,,,directeur de recherche au CNRS
Laurent Courtois,1978-09-11T00:00:00Z,Lyon,,,
Jean Demannez,1949-02-15T00:00:00Z,,,,
Jacques Desoubrie,1922-10-22T00:00:00Z,Luingne,1949-12-20T00:00:00Z,fort de Montrouge,
Jean Doublet,1906-05-26T00:00:00Z,Montdidier,1981-07-17T00:00:00Z,Montdidier,député
Q58924053,,,,,
Jean Dubec-Crespin,1540-01-01T00:00:00Z,,1610-01-20T00:00:00Z,Saint-Malo-de-Beignon,"évêque catholique, évêque diocésain"
Jean de Gaudusson,1942-09-02T00:00:00Z,,,,président
Jacopo Bassano,1510-01-01T00:00:00Z,Bassano del Grappa,1591-02-13T00:00:00Z,Bassano del Grappa,
Guillaume Du Val,1572-01-01T00:00:00Z,Pontoise,1646-09-22T00:00:00Z,Paris,
Pierre du Val,1500-01-01T00:00:00Z,,1558-01-01T00:00:00Z,,
Jean Faure,1937-01-14T00:00:00Z,,,,"sénateur, conseiller régional"
Nicolas Frémin de Beaumont,1744-04-10T00:00:00Z,Coutances,1820-12-31T00:00:00Z,Anneville-sur-Mer,député
Q62576165,,,,,président
Jacques Gaultier de La Ferrière,,,,,"chef du protocole de la République française, ambassadeur de France en République tchèque, ambassadeur de France aux Pays-Bas"
Pierre Gaultier de Varennes et de La Vérendrye,1685-11-17T00:00:00Z,Trois-Rivières,1749-12-05T00:00:00Z,Montréal,
Pierre Giffart,1638-01-01T00:00:00Z,Paris,1723-04-20T00:00:00Z,Paris,
Jean Gillet,1918-09-16T00:00:00Z,,2011-06-17T00:00:00Z,,sénateur
Pierre Girardot,1913-11-20T00:00:00Z,Laragne-Montéglin,2001-01-03T00:00:00Z,,"maire, député"
Jean Gontier,1942-01-26T00:00:00Z,,,,
William Augustus de Cumberland,1721-04-26T00:00:00Z,Leicester Square,1765-10-31T00:00:00Z,Londres,membre du Conseil privé du Royaume-Uni
Philippe Hardy,1959-01-13T00:00:00Z,,,,"maire de Lorry-Mardigny, conseiller municipal de Lorry-Mardigny, conseiller communautaire de Mad et Moselle"
Pierre Hardy,1962-10-05T00:00:00Z,Ath,,,député wallon
Pierre Henry-Larivière,1761-12-06T00:00:00Z,Falaise,1838-11-03T00:00:00Z,Paris,membre du Conseil des Cinq-Cents
Nicolas Janvier,1992-03-25T00:00:00Z,Quimperlé,,,
Jean L'Archer,,,,,
Nicolas de La Mare,1639-06-23T00:00:00Z,Noisy-le-Grand,1723-04-23T00:00:00Z,Paris,
Thomas de la Mare,1309-01-01T00:00:00Z,,1396-01-01T00:00:00Z,,
Pierre de La Place,1520-01-01T00:00:00Z,Angoulême,1572-08-25T00:00:00Z,Paris,président
Pierre Beaumesnil,1707-01-01T00:00:00Z,,1787-01-01T00:00:00Z,Limoges,
Jean Lamarre,1958-01-01T00:00:00Z,,,,
