nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Louise Monot,1981-12-30T00:00:00Z,Paris,,,
Marilou Berry,1983-02-01T00:00:00Z,Paris,,,
Marlène Schiappa,1982-11-18T00:00:00Z,Paris,,,"secrétaire d'État à l’Égalité des femmes et des hommes, conseiller municipal du Mans, conseiller communautaire de Le Mans Métropole"
Mélanie Laurent,1983-02-21T00:00:00Z,Paris,,,
Amir John Haddad,1975-01-01T00:00:00Z,Fribourg-en-Brisgau,,,
Amel Bent,1985-06-21T00:00:00Z,Paris,,,
Léa Seydoux,1985-07-01T00:00:00Z,16e arrondissement de Paris,,,
Gaël Monfils,1986-09-01T00:00:00Z,Bobigny,,,
Kévin Razy,1987-12-23T00:00:00Z,Paris,,,
Camille Rowe-Pourcheresse,1990-01-07T00:00:00Z,Paris,,,
Q21457960,1842-01-01T00:00:00Z,,1905-01-01T00:00:00Z,,
Benjamin Lecomte,1991-04-26T00:00:00Z,Paris,,,
Kev Adams,1991-07-01T00:00:00Z,16e arrondissement de Paris,,,
Tony Yoka,1992-04-28T00:00:00Z,Paris,,,
Alphonse Areola,1993-02-27T00:00:00Z,Paris,,,
Vincent Lacoste,1982-09-12T00:00:00Z,,,,"maire de La Douze, conseiller municipal de La Douze, conseiller communautaire du Grand Périgueux"
Adèle Exarchopoulos,1993-11-22T00:00:00Z,Paris,,,
EnjoyPhoenix,1995-03-18T00:00:00Z,Paris,,,
Kingsley Coman,1996-06-13T00:00:00Z,Paris,,,
Kylian Mbappé,1998-12-20T00:00:00Z,19e arrondissement de Paris,,,
Claudette Colbert,1903-09-13T00:00:00Z,Saint-Mandé,1996-07-30T00:00:00Z,Speightstown,
Jean Langlois,1824-02-16T00:00:00Z,Saint-Laurent-de-l'Île-d'Orléans,1886-03-08T00:00:00Z,Québec,député de la Chambre des communes du Canada
Henri IV du Saint-Empire,1050-11-17T00:00:00Z,Goslar,1106-08-14T00:00:00Z,Liège,"empereur, empereur romain germanique, duc de Bavière"
François Ravaillac,1578-01-01T00:00:00Z,Angoulême,1610-05-27T00:00:00Z,Paris,
Armand Jean du Plessis de Richelieu,1585-09-09T00:00:00Z,Paris,1642-12-04T00:00:00Z,Paris,"cardinal, évêque catholique, évêque diocésain, Secrétaire d'État des Affaires étrangères, gouverneur de Bretagne"
Vincent de Paul,1581-05-04T00:00:00Z,Saint-Vincent-de-Paul,1660-09-27T00:00:00Z,Paris,chapelain
Blaise Pascal Talla,1953-01-01T00:00:00Z,,,,
Anne d'Autriche,1601-09-22T00:00:00Z,Valladolid,1666-01-20T00:00:00Z,Paris,gouverneur de Bretagne
Jean de La Fontaine,1621-07-08T00:00:00Z,Château-Thierry,1695-04-13T00:00:00Z,Paris,fauteuil 24 de l'Académie française
Jean Racine,1639-12-21T00:00:00Z,La Ferté-Milon,1699-04-21T00:00:00Z,Paris,fauteuil 13 de l'Académie française
Antoine Coysevox,1640-09-29T00:00:00Z,Lyon,1720-10-10T00:00:00Z,Paris,
Marguerite de Rochechouart,1665-01-01T00:00:00Z,,1727-10-23T00:00:00Z,Paris,abbesse
Nicolas Coustou,1658-01-09T00:00:00Z,Lyon,1733-05-01T00:00:00Z,Paris,
Montesquieu,1689-01-18T00:00:00Z,château de La Brède,1755-02-10T00:00:00Z,Paris,"juge, fauteuil 2 de l'Académie française"
Jean Le Rond d'Alembert,1717-11-16T00:00:00Z,Paris,1783-10-29T00:00:00Z,Paris,"secrétaire perpétuel, fauteuil 25 de l'Académie française"
Denis Diderot,1713-10-05T00:00:00Z,Langres,1784-07-31T00:00:00Z,Paris,
