,nom,lon,lat,inception,height
393,boulangerie-pâtisserie Beaumarchais,2.36875,48.856,,
394,boulangerie,2.38916667,48.87277778,,
395,brasserie Mollard,2.325903,48.875315,,
396,café de Buci,2.33847,48.8538,,
397,café de la Paix,2.3316722222222,48.870780555556,,
398,carrière du chemin de Port-Mahon,2.3344444444444,48.831388888889,,
402,cathédrale Saint-Vladimir-le-Grand,2.3308333333333,48.854444444444,,
403,cathédrale grecque Saint-Étienne de Paris,2.2986,48.8666,1890-01-01T00:00:00Z,
404,Centquatre-Paris,2.36989167,48.89016667,2008-10-01T00:00:00Z,
405,centre hospitalier Sainte-Anne,2.33845,48.8287,1651-01-01T00:00:00Z,
406,chancellerie d'Orléans,2.3386,48.863,,
407,chapelle Notre-Dame-de-Consolation de Paris,2.3060277777778,48.865555555556,1901-01-01T00:00:00Z,
408,chapelle du Père-Lachaise,2.39287,48.8612,1823-01-01T00:00:00Z,
409,château de Bagatelle,2.2472222222222,48.871666666667,,
410,château de Bagnolet,2.40625,48.861944444444,1738-01-01T00:00:00Z,
411,cimetière des Juifs Portugais de Paris,2.37306,48.8867,1780-01-01T00:00:00Z,
412,cité Bergère,2.34387,48.8719,,
413,cité Berryer,2.32299,48.8691,1745-01-01T00:00:00Z,
414,cité Napoléon,2.34667,48.8806,,
415,cité de Trévise,2.34699,48.8751,1840-01-01T00:00:00Z,
416,cité fleurie,2.34383,48.8343,,
417,cloître et église des Billettes,2.355,48.858,1758-01-01T00:00:00Z,
418,collège Stanislas,2.32726,48.84414,1804-01-01T00:00:00Z,
419,collège Stanislas,2.3275,48.845277777778,1804-01-01T00:00:00Z,
420,pagode de Vincennes,2.415,48.82861111,1931-01-01T00:00:00Z,
421,Comédia,2.35489,48.8697,,
422,Comédie de Paris,2.333194,48.882944,,
423,cour de l'Industrie,2.38714,48.8508,,
424,cour de l'Étoile-d'Or,2.37456,48.8521,,
425,cour du Commerce-Saint-André,2.33908,48.853,1776-01-01T00:00:00Z,
426,couvent Saint-François de Paris,2.33009,48.8263,,
427,couvent de la Madeleine de Traisnel,2.38417,48.8542,,
428,couvent des Bénédictines du Bon-Secours,2.38389,48.8547,,
429,couvent des Grands-Augustins,2.33352,48.8567,1263-01-01T00:00:00Z,
430,crédit municipal de Paris,2.357319,48.858942,1637-01-01T00:00:00Z,
431,columbarium du Père-Lachaise,2.3958888888889,48.862444444444,,
432,Céramic Hôtel,2.29757,48.8768,,
433,eaux de Belleville,2.39139,48.8714,,
442,entrepôt de Bercy,2.38611111,48.83333333,,
443,espace sportif Pailleron,2.3778,48.8806,,
444,faculté de droit de Paris,2.34473,48.8469,,
445,façade du palais de la porte Dorée,2.40916,48.835,1929-01-01T00:00:00Z,
449,faïencerie Loebnitz,2.3712,48.8665,,
450,fondation Avicenne,2.33508,48.8178,,
451,fondation Deutsch de la Meurthe,2.335,48.82027778,1925-01-01T00:00:00Z,
452,fondation Eugène-Napoléon,2.391667,48.848611,,
453,fondation des États-Unis,2.33972,48.8197,,
454,fontaine Boucherat,2.36444,48.8644,,
455,fontaine Colbert,2.33887,48.8681,,
456,fontaine Cuvier,2.355,48.844,,
457,fontaine Médicis,2.33916667,48.84805556,,
458,fontaine du jardin Villemin,2.36163,48.8751,1846-01-01T00:00:00Z,
459,fontaines Wallace de la place Louis-Lépine,2.347562,48.855432,,
460,fontaines Wallace de la place Louis-Lépine,2.34772,48.855395,,
461,galerie de la Madeleine,2.32269,48.8697,1846-01-01T00:00:00Z,
462,théâtre Antoine,2.35537,48.8706,,
463,Grand-Salle du Palais de la Cité,2.34543,48.855166,1300-01-01T00:00:00Z,
464,grande fresque de la gare de Lyon,2.37467,48.8448,1900-01-01T00:00:00Z,
468,halle Secrétan,2.3725,48.8814,,
469,hospice Saint-Michel,2.41502,48.8446,,
470,passage des Panoramas,2.3416666666667,48.871111111111,1800-01-01T00:00:00Z,
471,prison de La Force,2.35556,48.8556,1780-01-01T00:00:00Z,
472,hôpital La Rochefoucauld,2.33194,48.8319,,
473,hôpital Saint-Antoine,2.38262,48.8489,,
474,hôtel Alexandre,2.3206,48.8719,,
475,hôtel Bataille de Francès,2.32861,48.8669,,
476,hôtel Baudard de Saint-James,2.33008,48.8669,,
480,hôtel Bauyn de Péreuse,2.34153,48.8654,,
481,hôtel Bergeret de Talmont,2.34056,48.8658,,
482,hôtel Bergeret de Grancourt,2.34058,48.8656,,
483,hôtel Botterel de Quintin,2.34989,48.8742,,
484,hôtel Bony,2.3461,48.87496,,
488,hôtel Bourrienne,2.3511388888889,48.874525,,
489,hôtel Cail,2.3175,48.8775,1865-01-01T00:00:00Z,
490,hôtel Charlemagne,2.34081,48.86545,,
491,hôtel Colbert,2.348649,48.851535,,
492,hôtel Colbert de Torcy,2.33991,48.8684,,
493,hôtel Coulanges,2.365,48.855,,
497,hôtel Dyel des Hameaux,2.36425,48.8557,,
501,hôtel Gigault de La Salle,2.34122,48.866,,
502,hôtel Genou de Guiberville,2.36547,48.8549,,
503,hôtel Judic,2.33,48.8811,,
507,hôtel Laffemas,2.36678,48.8559,,
508,hôtel Lafont,2.36675,48.8551,,
509,hôtel Landolfo-Carcano,2.29699,48.8736,,
510,hôtel Lalique,2.30453,48.8649,,
511,hôtel Le Charron,2.35619,48.8526,,
512,hôtel Le Ferron,2.3591,48.8609,,
513,hôtel Le Pelletier de Souzy,2.35992,48.8624,,
514,hôtel Lejeune,2.33603,48.889,,
515,hôtel Le Vavasseur,2.2916666666667,48.866111111111,,
516,hôtel Lefebure de la Malmaison,2.35789,48.8506,,
520,hôtel Libéral Bruant,2.36181,48.859,,
521,hôtel Marchand,2.36442,48.8562,,
