nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Q11816663,,Blois,1188-11-23T00:00:00Z,,évêque catholique,,1188.0
Jean Lemoine,1250-01-01T00:00:00Z,Crécy-en-Ponthieu,1313-08-22T00:00:00Z,Avignon,"évêque catholique, camerlingue du Sacré Collège",1250.0,1313.0
Jean Le Noir,,,1380-01-01T00:00:00Z,,,,1380.0
Wolfgang Hopyl,1500-01-01T00:00:00Z,,1522-11-01T00:00:00Z,,,1500.0,1522.0
Thielman Ier Kerver,,Coblence,1522-01-01T00:00:00Z,,,,1522.0
Pierre le Caron,1450-01-01T00:00:00Z,,,,,1450.0,
Guillaume le Rouge,1385-01-01T00:00:00Z,Bourgogne-Franche-Comté,1450-01-01T00:00:00Z,,,1385.0,1450.0
Georges Mittelhus,1460-01-01T00:00:00Z,,1503-01-01T00:00:00Z,,,1460.0,1503.0
Philippe Pigouchet,1488-01-01T00:00:00Z,,1518-01-01T00:00:00Z,,,1488.0,1518.0
Jean-Simon de Champigny,1450-01-01T00:00:00Z,Paris,1502-01-01T00:00:00Z,Paris,évêque,1450.0,1502.0
Henri de Cornouailles,1511-01-01T00:00:00Z,Londres,1511-02-23T00:00:00Z,Londres,,1511.0,1511.0
Jean de Garlande,,,1316-10-01T00:00:00Z,,évêque,,1316.0
Claude Jaumar,1450-01-01T00:00:00Z,,,,,1450.0,
Raoul le Breton,1270-01-01T00:00:00Z,,1320-01-01T00:00:00Z,,,1270.0,1320.0
Jean Poitevin,1520-01-01T00:00:00Z,,1565-01-01T00:00:00Z,Poitiers,,1520.0,1565.0
Jean Daillon,1423-01-01T00:00:00Z,Bourges,1481-11-22T00:00:00Z,,,1423.0,1481.0
Pierre Ier de Bretagne,1191-01-01T00:00:00Z,Dourdan,1250-07-13T00:00:00Z,Égypte,régent,1191.0,1250.0
Jean de Courcy,1340-01-01T00:00:00Z,,1396-01-01T00:00:00Z,,,1340.0,1396.0
Guillaume Crespin,1365-01-01T00:00:00Z,Château-Gontier,1440-06-25T00:00:00Z,Tarascon,,1365.0,1440.0
Pierre de Dammartin,,,1106-01-01T00:00:00Z,,comte de Dammartin,,1106.0
Renaud de Dammartin,1165-01-01T00:00:00Z,,1227-04-28T00:00:00Z,Saint-Pierre-la-Garenne,,1165.0,1227.0
Jean Dufresne de Moustiers,1514-01-01T00:00:00Z,,1569-01-01T00:00:00Z,,"évêque catholique, évêque diocésain, évêque de  Bayonne, Lescar et Oloron",1514.0,1569.0
